"","Iteration","Num_Selected","Selected_Predictors","Sensitivity","Specificity","TP","TN","FP","FN"
"1",1,7,"P81, P91, P94, P143, P244, P256, P292",0.867924528301887,0.851063829787234,92,80,14,14
"2",2,4,"P72, P94, P256, P292",0.868686868686869,0.801980198019802,86,81,20,13
"3",3,10,"P26, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.916666666666667,0.855769230769231,88,89,15,8
"4",4,9,"P32, P63, P81, P94, P143, P211, P244, P256, P292",0.846938775510204,0.843137254901961,83,86,16,15
"5",5,5,"P81, P94, P143, P256, P292",0.827586206896552,0.80952380952381,96,68,16,20
"6",6,7,"P63, P91, P94, P143, P211, P256, P292",0.867924528301887,0.840425531914894,92,79,15,14
"7",7,4,"P63, P94, P256, P292",0.889908256880734,0.846153846153846,97,77,14,12
"8",8,8,"P26, P32, P63, P94, P143, P244, P256, P292",0.841584158415842,0.797979797979798,85,79,20,16
"9",9,7,"P26, P32, P72, P94, P143, P256, P292",0.871287128712871,0.898989898989899,88,89,10,13
"10",10,9,"P26, P32, P63, P81, P91, P94, P143, P256, P292",0.883495145631068,0.896907216494845,91,87,10,12
"11",11,11,"P26, P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.901960784313726,0.86734693877551,92,85,13,10
"12",12,8,"P63, P81, P91, P94, P143, P244, P256, P292",0.844660194174757,0.938144329896907,87,91,6,16
"13",13,8,"P63, P81, P94, P143, P211, P244, P256, P292",0.821782178217822,0.878787878787879,83,87,12,18
"14",14,9,"P32, P63, P72, P81, P91, P94, P143, P256, P292",0.870588235294118,0.852173913043478,74,98,17,11
"15",15,7,"P63, P81, P94, P143, P244, P256, P292",0.831578947368421,0.866666666666667,79,91,14,16
"16",16,11,"P7, P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.91,0.84,91,84,16,9
"17",17,7,"P63, P91, P94, P143, P244, P256, P292",0.807692307692308,0.854166666666667,84,82,14,20
"18",18,10,"P32, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.932692307692308,0.864583333333333,97,83,13,7
"19",19,11,"P7, P26, P32, P72, P91, P94, P109, P143, P244, P256, P292",0.841584158415842,0.909090909090909,85,90,9,16
"20",20,8,"P26, P81, P91, P94, P143, P244, P256, P292",0.869158878504673,0.913978494623656,93,85,8,14
"21",21,10,"P26, P32, P63, P72, P81, P94, P143, P244, P256, P292",0.83495145631068,0.855670103092783,86,83,14,17
"22",22,8,"P32, P72, P81, P94, P143, P244, P256, P292",0.887755102040816,0.843137254901961,87,86,16,11
"23",23,6,"P81, P94, P143, P244, P256, P292",0.833333333333333,0.836363636363636,75,92,18,15
"24",24,6,"P32, P72, P94, P143, P256, P292",0.841584158415842,0.909090909090909,85,90,9,16
"25",25,7,"P63, P81, P94, P143, P244, P256, P292",0.827272727272727,0.855555555555556,91,77,13,19
"26",26,12,"P26, P32, P63, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.911111111111111,0.9,82,99,11,8
